Year,Month,Quarter,City,Store_Type,Customer_Category,Promotion,Revenue,Transactions,Avg_Order_Value,Total_Items
2020,April,2,Atlanta,Supermarket,"Senior Citizen","BOGO (Buy One Get One)",556.67,12,46.39,68
2020,April,2,Atlanta,Supermarket,"Senior Citizen","Discount on Selected Items",579.65,11,52.70,55
2020,April,2,Atlanta,Supermarket,"Senior Citizen","No Promotion",1118.69,17,65.81,102
2020,April,2,Atlanta,Supermarket,Student,"BOGO (Buy One Get One)",337.03,7,48.15,41
2020,April,2,Atlanta,Supermarket,Student,"Discount on Selected Items",963.84,19,50.73,105
2020,April,2,Atlanta,Supermarket,Student,"No Promotion",341.83,7,48.83,36
2020,April,2,Atlanta,Supermarket,Teenager,"BOGO (Buy One Get One)",442.53,10,44.25,41
2020,April,2,Atlanta,Supermarket,Teenager,"Discount on Selected Items",743.99,14,53.14,60
2020,April,2,Atlanta,Supermarket,Teenager,"No Promotion",544.26,8,68.03,45
2020,April,2,Atlanta,Supermarket,"Young Adult","BOGO (Buy One Get One)",431.10,10,43.11,43
2020,April,2,Atlanta,Supermarket,"Young Adult","Discount on Selected Items",497.63,10,49.76,37
2020,April,2,Atlanta,Supermarket,"Young Adult","No Promotion",891.91,14,63.71,83
2020,April,2,Atlanta,"Warehouse Club",Homemaker,"BOGO (Buy One Get One)",656.38,11,59.67,61
2020,April,2,Atlanta,"Warehouse Club",Homemaker,"Discount on Selected Items",992.24,17,58.37,84
2020,April,2,Atlanta,"Warehouse Club",Homemaker,"No Promotion",903.53,15,60.24,93
2020,April,2,Atlanta,"Warehouse Club",Middle-Aged,"BOGO (Buy One Get One)",514.05,9,57.12,49
2020,April,2,Atlanta,"Warehouse Club",Middle-Aged,"Discount on Selected Items",676.77,12,56.40,64
2020,April,2,Atlanta,"Warehouse Club",Middle-Aged,"No Promotion",572.47,10,57.25,70
2020,April,2,Atlanta,"Warehouse Club",Professional,"BOGO (Buy One Get One)",783.20,14,55.94,92
2020,April,2,Atlanta,"Warehouse Club",Professional,"Discount on Selected Items",913.27,15,60.88,80
2020,April,2,Atlanta,"Warehouse Club",Professional,"No Promotion",742.17,14,53.01,82
2020,April,2,Atlanta,"Warehouse Club",Retiree,"BOGO (Buy One Get One)",826.17,15,55.08,82
2020,April,2,Atlanta,"Warehouse Club",Retiree,"Discount on Selected Items",894.03,17,52.59,89
2020,April,2,Atlanta,"Warehouse Club",Retiree,"No Promotion",809.00,12,67.42,53
2020,April,2,Atlanta,"Warehouse Club","Senior Citizen","BOGO (Buy One Get One)",814.51,18,45.25,90
2020,April,2,Atlanta,"Warehouse Club","Senior Citizen","Discount on Selected Items",444.10,9,49.34,52
2020,April,2,Atlanta,"Warehouse Club","Senior Citizen","No Promotion",794.89,17,46.76,90
2020,April,2,Atlanta,"Warehouse Club",Student,"BOGO (Buy One Get One)",979.08,16,61.19,89
2020,April,2,Atlanta,"Warehouse Club",Student,"Discount on Selected Items",900.80,16,56.30,113
2020,April,2,Atlanta,"Warehouse Club",Student,"No Promotion",1031.46,19,54.29,106
2020,April,2,Atlanta,"Warehouse Club",Teenager,"BOGO (Buy One Get One)",777.59,15,51.84,70
2020,April,2,Atlanta,"Warehouse Club",Teenager,"Discount on Selected Items",992.79,17,58.40,85
2020,April,2,Atlanta,"Warehouse Club",Teenager,"No Promotion",576.38,10,57.64,58
2020,April,2,Atlanta,"Warehouse Club","Young Adult","BOGO (Buy One Get One)",721.46,15,48.10,92
2020,April,2,Atlanta,"Warehouse Club","Young Adult","Discount on Selected Items",717.67,11,65.24,58
2020,April,2,Atlanta,"Warehouse Club","Young Adult","No Promotion",696.67,13,53.59,75
2020,April,2,Boston,"Convenience Store",Homemaker,"BOGO (Buy One Get One)",676.96,12,56.41,59
2020,April,2,Boston,"Convenience Store",Homemaker,"Discount on Selected Items",1209.93,20,60.50,107
2020,April,2,Boston,"Convenience Store",Homemaker,"No Promotion",639.42,14,45.67,95
2020,April,2,Boston,"Convenience Store",Middle-Aged,"BOGO (Buy One Get One)",399.46,13,30.73,68
2020,April,2,Boston,"Convenience Store",Middle-Aged,"Discount on Selected Items",491.38,12,40.95,57
2020,April,2,Boston,"Convenience Store",Middle-Aged,"No Promotion",912.81,17,53.69,91
2020,April,2,Boston,"Convenience Store",Professional,"BOGO (Buy One Get One)",760.09,15,50.67,65
2020,April,2,Boston,"Convenience Store",Professional,"Discount on Selected Items",826.54,18,45.92,109
2020,April,2,Boston,"Convenience Store",Professional,"No Promotion",633.68,11,57.61,61
2020,April,2,Boston,"Convenience Store",Retiree,"BOGO (Buy One Get One)",748.93,14,53.50,59
2020,April,2,Boston,"Convenience Store",Retiree,"Discount on Selected Items",642.44,12,53.54,68
2020,April,2,Boston,"Convenience Store",Retiree,"No Promotion",425.95,9,47.33,39
2020,April,2,Boston,"Convenience Store","Senior Citizen","BOGO (Buy One Get One)",489.60,8,61.20,39
2020,April,2,Boston,"Convenience Store","Senior Citizen","Discount on Selected Items",463.24,8,57.91,42
2020,April,2,Boston,"Convenience Store","Senior Citizen","No Promotion",539.63,12,44.97,76
2020,April,2,Boston,"Convenience Store",Student,"BOGO (Buy One Get One)",701.20,17,41.25,96
2020,April,2,Boston,"Convenience Store",Student,"Discount on Selected Items",712.51,13,54.81,73
2020,April,2,Boston,"Convenience Store",Student,"No Promotion",615.17,11,55.92,54
2020,April,2,Boston,"Convenience Store",Teenager,"BOGO (Buy One Get One)",417.45,9,46.38,56
2020,April,2,Boston,"Convenience Store",Teenager,"Discount on Selected Items",701.42,14,50.10,85
2020,April,2,Boston,"Convenience Store",Teenager,"No Promotion",872.60,14,62.33,75
2020,April,2,Boston,"Convenience Store","Young Adult","BOGO (Buy One Get One)",612.95,11,55.72,60
2020,April,2,Boston,"Convenience Store","Young Adult","Discount on Selected Items",726.52,12,60.54,60
2020,April,2,Boston,"Convenience Store","Young Adult","No Promotion",635.20,13,48.86,72
2020,April,2,Boston,"Department Store",Homemaker,"BOGO (Buy One Get One)",634.99,16,39.69,100
2020,April,2,Boston,"Department Store",Homemaker,"Discount on Selected Items",762.24,14,54.45,57
2020,April,2,Boston,"Department Store",Homemaker,"No Promotion",802.03,15,53.47,80
2020,April,2,Boston,"Department Store",Middle-Aged,"BOGO (Buy One Get One)",499.61,12,41.63,60
2020,April,2,Boston,"Department Store",Middle-Aged,"Discount on Selected Items",569.19,10,56.92,58
2020,April,2,Boston,"Department Store",Middle-Aged,"No Promotion",818.38,17,48.14,99
2020,April,2,Boston,"Department Store",Professional,"BOGO (Buy One Get One)",551.53,12,45.96,48
2020,April,2,Boston,"Department Store",Professional,"Discount on Selected Items",972.74,18,54.04,96
2020,April,2,Boston,"Department Store",Professional,"No Promotion",565.07,11,51.37,54
2020,April,2,Boston,"Department Store",Retiree,"BOGO (Buy One Get One)",193.58,4,48.40,25
2020,April,2,Boston,"Department Store",Retiree,"Discount on Selected Items",669.15,13,51.47,61
2020,April,2,Boston,"Department Store",Retiree,"No Promotion",683.16,12,56.93,69
2020,April,2,Boston,"Department Store","Senior Citizen","BOGO (Buy One Get One)",1008.38,20,50.42,117
2020,April,2,Boston,"Department Store","Senior Citizen","Discount on Selected Items",603.10,10,60.31,50
2020,April,2,Boston,"Department Store","Senior Citizen","No Promotion",975.96,21,46.47,138
2020,April,2,Boston,"Department Store",Student,"BOGO (Buy One Get One)",544.70,13,41.90,76
2020,April,2,Boston,"Department Store",Student,"Discount on Selected Items",624.78,14,44.63,81
2020,April,2,Boston,"Department Store",Student,"No Promotion",901.79,17,53.05,85
2020,April,2,Boston,"Department Store",Teenager,"BOGO (Buy One Get One)",927.46,17,54.56,100
2020,April,2,Boston,"Department Store",Teenager,"Discount on Selected Items",714.93,14,51.07,66
2020,April,2,Boston,"Department Store",Teenager,"No Promotion",566.10,15,37.74,66
2020,April,2,Boston,"Department Store","Young Adult","BOGO (Buy One Get One)",958.90,20,47.95,113
2020,April,2,Boston,"Department Store","Young Adult","Discount on Selected Items",669.03,12,55.75,65
2020,April,2,Boston,"Department Store","Young Adult","No Promotion",446.07,10,44.61,62
2020,April,2,Boston,Pharmacy,Homemaker,"BOGO (Buy One Get One)",463.01,8,57.88,45
2020,April,2,Boston,Pharmacy,Homemaker,"Discount on Selected Items",412.70,8,51.59,50
2020,April,2,Boston,Pharmacy,Homemaker,"No Promotion",782.18,14,55.87,68
2020,April,2,Boston,Pharmacy,Middle-Aged,"BOGO (Buy One Get One)",577.85,10,57.79,51
2020,April,2,Boston,Pharmacy,Middle-Aged,"Discount on Selected Items",853.18,19,44.90,115
2020,April,2,Boston,Pharmacy,Middle-Aged,"No Promotion",1344.34,22,61.11,142
2020,April,2,Boston,Pharmacy,Professional,"BOGO (Buy One Get One)",884.40,18,49.13,83
2020,April,2,Boston,Pharmacy,Professional,"Discount on Selected Items",681.63,12,56.80,70
2020,April,2,Boston,Pharmacy,Professional,"No Promotion",536.61,12,44.72,76
2020,April,2,Boston,Pharmacy,Retiree,"BOGO (Buy One Get One)",618.74,11,56.25,68
2020,April,2,Boston,Pharmacy,Retiree,"Discount on Selected Items",723.53,16,45.22,89
2020,April,2,Boston,Pharmacy,Retiree,"No Promotion",442.85,12,36.90,61
2020,April,2,Boston,Pharmacy,"Senior Citizen","BOGO (Buy One Get One)",492.23,9,54.69,53
2020,April,2,Boston,Pharmacy,"Senior Citizen","Discount on Selected Items",891.57,18,49.53,102
2020,April,2,Boston,Pharmacy,"Senior Citizen","No Promotion",404.31,7,57.76,37
2020,April,2,Boston,Pharmacy,Student,"BOGO (Buy One Get One)",572.22,13,44.02,64
2020,April,2,Boston,Pharmacy,Student,"Discount on Selected Items",476.86,13,36.68,74
2020,April,2,Boston,Pharmacy,Student,"No Promotion",642.45,10,64.25,60
2020,April,2,Boston,Pharmacy,Teenager,"BOGO (Buy One Get One)",1120.80,20,56.04,93
2020,April,2,Boston,Pharmacy,Teenager,"Discount on Selected Items",1092.64,19,57.51,110
2020,April,2,Boston,Pharmacy,Teenager,"No Promotion",583.22,13,44.86,83
2020,April,2,Boston,Pharmacy,"Young Adult","BOGO (Buy One Get One)",744.31,12,62.03,59
2020,April,2,Boston,Pharmacy,"Young Adult","Discount on Selected Items",944.78,16,59.05,79
2020,April,2,Boston,Pharmacy,"Young Adult","No Promotion",357.42,7,51.06,40
2020,April,2,Boston,"Specialty Store",Homemaker,"BOGO (Buy One Get One)",463.66,10,46.37,57
2020,April,2,Boston,"Specialty Store",Homemaker,"Discount on Selected Items",572.99,12,47.75,58
2020,April,2,Boston,"Specialty Store",Homemaker,"No Promotion",683.66,15,45.58,81
2020,April,2,Boston,"Specialty Store",Middle-Aged,"BOGO (Buy One Get One)",473.14,10,47.31,56
2020,April,2,Boston,"Specialty Store",Middle-Aged,"Discount on Selected Items",666.91,12,55.58,55
2020,April,2,Boston,"Specialty Store",Middle-Aged,"No Promotion",836.51,16,52.28,79
2020,April,2,Boston,"Specialty Store",Professional,"BOGO (Buy One Get One)",569.45,12,47.45,56
2020,April,2,Boston,"Specialty Store",Professional,"Discount on Selected Items",493.31,10,49.33,67
2020,April,2,Boston,"Specialty Store",Professional,"No Promotion",407.64,8,50.96,42
2020,April,2,Boston,"Specialty Store",Retiree,"BOGO (Buy One Get One)",606.63,11,55.15,66
2020,April,2,Boston,"Specialty Store",Retiree,"Discount on Selected Items",348.48,10,34.85,57
2020,April,2,Boston,"Specialty Store",Retiree,"No Promotion",369.99,8,46.25,64
2020,April,2,Boston,"Specialty Store","Senior Citizen","BOGO (Buy One Get One)",836.06,16,52.25,90
2020,April,2,Boston,"Specialty Store","Senior Citizen","Discount on Selected Items",582.96,10,58.30,59
2020,April,2,Boston,"Specialty Store","Senior Citizen","No Promotion",667.33,12,55.61,71
2020,April,2,Boston,"Specialty Store",Student,"BOGO (Buy One Get One)",964.86,18,53.60,107
2020,April,2,Boston,"Specialty Store",Student,"Discount on Selected Items",460.47,8,57.56,44
2020,April,2,Boston,"Specialty Store",Student,"No Promotion",380.38,5,76.08,22
2020,April,2,Boston,"Specialty Store",Teenager,"BOGO (Buy One Get One)",1076.41,16,67.28,59
2020,April,2,Boston,"Specialty Store",Teenager,"Discount on Selected Items",620.17,11,56.38,68
2020,April,2,Boston,"Specialty Store",Teenager,"No Promotion",818.95,15,54.60,100
2020,April,2,Boston,"Specialty Store","Young Adult","BOGO (Buy One Get One)",486.54,10,48.65,61
2020,April,2,Boston,"Specialty Store","Young Adult","Discount on Selected Items",554.17,10,55.42,55
2020,April,2,Boston,"Specialty Store","Young Adult","No Promotion",713.32,12,59.44,81
2020,April,2,Boston,Supermarket,Homemaker,"BOGO (Buy One Get One)",627.08,13,48.24,75
2020,April,2,Boston,Supermarket,Homemaker,"Discount on Selected Items",720.99,15,48.07,91
2020,April,2,Boston,Supermarket,Homemaker,"No Promotion",554.14,14,39.58,77
2020,April,2,Boston,Supermarket,Middle-Aged,"BOGO (Buy One Get One)",833.67,16,52.10,80
2020,April,2,Boston,Supermarket,Middle-Aged,"Discount on Selected Items",592.55,9,65.84,47
2020,April,2,Boston,Supermarket,Middle-Aged,"No Promotion",522.18,10,52.22,53
2020,April,2,Boston,Supermarket,Professional,"BOGO (Buy One Get One)",751.25,14,53.66,65
2020,April,2,Boston,Supermarket,Professional,"Discount on Selected Items",489.82,10,48.98,54
2020,April,2,Boston,Supermarket,Professional,"No Promotion",778.81,12,64.90,71
2020,April,2,Boston,Supermarket,Retiree,"BOGO (Buy One Get One)",1064.39,19,56.02,106
2020,April,2,Boston,Supermarket,Retiree,"Discount on Selected Items",826.44,14,59.03,75
2020,April,2,Boston,Supermarket,Retiree,"No Promotion",745.89,16,46.62,104
2020,April,2,Boston,Supermarket,"Senior Citizen","BOGO (Buy One Get One)",885.69,15,59.05,65
2020,April,2,Boston,Supermarket,"Senior Citizen","Discount on Selected Items",369.15,7,52.74,42
2020,April,2,Boston,Supermarket,"Senior Citizen","No Promotion",767.70,15,51.18,59
2020,April,2,Boston,Supermarket,Student,"BOGO (Buy One Get One)",533.35,13,41.03,75
2020,April,2,Boston,Supermarket,Student,"Discount on Selected Items",889.28,16,55.58,87
2020,April,2,Boston,Supermarket,Student,"No Promotion",638.45,12,53.20,63
2020,April,2,Boston,Supermarket,Teenager,"BOGO (Buy One Get One)",347.74,13,26.75,71
2020,April,2,Boston,Supermarket,Teenager,"Discount on Selected Items",439.84,11,39.99,53
2020,April,2,Boston,Supermarket,Teenager,"No Promotion",332.01,9,36.89,58
2020,April,2,Boston,Supermarket,"Young Adult","BOGO (Buy One Get One)",524.54,11,47.69,47
2020,April,2,Boston,Supermarket,"Young Adult","Discount on Selected Items",882.34,12,73.53,64
2020,April,2,Boston,Supermarket,"Young Adult","No Promotion",726.96,14,51.93,63
2020,April,2,Boston,"Warehouse Club",Homemaker,"BOGO (Buy One Get One)",986.39,15,65.76,62
2020,April,2,Boston,"Warehouse Club",Homemaker,"Discount on Selected Items",623.22,11,56.66,37
2020,April,2,Boston,"Warehouse Club",Homemaker,"No Promotion",722.98,17,42.53,79
2020,April,2,Boston,"Warehouse Club",Middle-Aged,"BOGO (Buy One Get One)",587.69,11,53.43,76
2020,April,2,Boston,"Warehouse Club",Middle-Aged,"Discount on Selected Items",529.03,12,44.09,62
2020,April,2,Boston,"Warehouse Club",Middle-Aged,"No Promotion",973.29,18,54.07,82
2020,April,2,Boston,"Warehouse Club",Professional,"BOGO (Buy One Get One)",599.16,13,46.09,80
2020,April,2,Boston,"Warehouse Club",Professional,"Discount on Selected Items",847.63,15,56.51,102
2020,April,2,Boston,"Warehouse Club",Professional,"No Promotion",651.71,12,54.31,62
2020,April,2,Boston,"Warehouse Club",Retiree,"BOGO (Buy One Get One)",447.66,7,63.95,48
2020,April,2,Boston,"Warehouse Club",Retiree,"Discount on Selected Items",541.23,11,49.20,76
2020,April,2,Boston,"Warehouse Club",Retiree,"No Promotion",685.54,11,62.32,57
2020,April,2,Boston,"Warehouse Club","Senior Citizen","BOGO (Buy One Get One)",430.81,9,47.87,43
2020,April,2,Boston,"Warehouse Club","Senior Citizen","Discount on Selected Items",794.01,13,61.08,79
2020,April,2,Boston,"Warehouse Club","Senior Citizen","No Promotion",591.29,10,59.13,38
2020,April,2,Boston,"Warehouse Club",Student,"BOGO (Buy One Get One)",681.67,12,56.81,73
2020,April,2,Boston,"Warehouse Club",Student,"Discount on Selected Items",571.67,13,43.97,77
2020,April,2,Boston,"Warehouse Club",Student,"No Promotion",801.28,15,53.42,80
2020,April,2,Boston,"Warehouse Club",Teenager,"BOGO (Buy One Get One)",1067.40,20,53.37,116
2020,April,2,Boston,"Warehouse Club",Teenager,"Discount on Selected Items",446.68,9,49.63,47
2020,April,2,Boston,"Warehouse Club",Teenager,"No Promotion",383.33,8,47.92,53
2020,April,2,Boston,"Warehouse Club","Young Adult","BOGO (Buy One Get One)",1007.73,21,47.99,111
2020,April,2,Boston,"Warehouse Club","Young Adult","Discount on Selected Items",564.07,10,56.41,48
2020,April,2,Boston,"Warehouse Club","Young Adult","No Promotion",326.56,8,40.82,51
2020,April,2,Chicago,"Convenience Store",Homemaker,"BOGO (Buy One Get One)",899.86,15,59.99,102
